trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'e': 0.5015760690660555, 'a': 0.01}",30,18,7.316074646138573,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
71,False,"{'e': 0.49658530379140947, 'a': 0.01}",20,8,4.980814142764354,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'e': 0.4916441974609651, 'a': 0.01}",25,0,-161.5840522765072,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
73,False,"{'e': 0.4867522559599717, 'a': 0.01}",25,4,-47.26622322039199,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
74,False,"{'e': 0.48190899009020244, 'a': 0.01}",25,5,-4.798793197026082,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
75,False,"{'e': 0.4771139155210344, 'a': 0.01}",30,2,-86.48918136747065,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 1}",1
76,False,"{'e': 0.4723665527410147, 'a': 0.01}",20,0,12.006836906258178,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'e': 0.46766642700990924, 'a': 0.01}",20,0,-39.89977223780357,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
78,False,"{'e': 0.46301306831122807, 'a': 0.01}",25,17,-3.4638400103538247,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'e': 0.4584060113052235, 'a': 0.01}",35,8,-106.90254500967526,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 2}",1
80,False,"{'e': 0.45384479528235583, 'a': 0.01}",20,11,17.658446292165813,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.44932896411722156, 'a': 0.01}",30,0,-55.621059984173584,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
82,False,"{'e': 0.4448580662229411, 'a': 0.01}",25,5,-25.110131140182045,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",1
83,False,"{'e': 0.44043165450599925, 'a': 0.01}",25,11,-27.75108774127348,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'e': 0.43604928632153556, 'a': 0.01}",20,0,-20.7717793332369,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
85,False,"{'e': 0.43171052342907973, 'a': 0.01}",20,0,-77.55277512504317,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
86,False,"{'e': 0.4274149319487267, 'a': 0.01}",20,0,-6.233918229661513,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
87,False,"{'e': 0.4231620823177488, 'a': 0.01}",35,21,11.371418026264422,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'e': 0.418951549247639, 'a': 0.01}",20,10,-1.1238689209881234,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'e': 0.4147829116815814, 'a': 0.01}",30,1,-50.77893437813788,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 1}",1
90,False,"{'e': 0.4106557527523455, 'a': 0.01}",20,8,2.015099031725758,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'e': 0.4065696597405991, 'a': 0.01}",20,0,-42.13786530392966,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
92,False,"{'e': 0.40252422403363597, 'a': 0.01}",20,6,21.296321918745218,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.39851904108451414, 'a': 0.01}",20,14,0.8140193268226366,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'e': 0.3945537103716011, 'a': 0.01}",25,6,-69.34534463349218,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
95,False,"{'e': 0.3906278353585211, 'a': 0.01}",20,12,16.081376648553675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'e': 0.3867410234545012, 'a': 0.01}",25,11,-6.61370844098654,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'e': 0.38289288597511206, 'a': 0.01}",20,0,-102.43920426988986,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
98,False,"{'e': 0.37908303810339883, 'a': 0.01}",25,2,-40.39129512731182,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
